Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Lesotho,LSO,..,1.46430800230047,1.63990257429194,1.54046857978041,2.02140075527454,1.79039257138811,1.87951558813143,2.83220856003674,2.15847181398061,1.47218820228059,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Liberia,LBR,..,0.0134621934490274,0.0147872634690224,0.0164416826165041,0.00857930752732101,0.0122881824549331,0.0123064474631989,0.0216386340649555,0.0195438112531094,0.0210678373829813,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Liechtenstein,LIE,..,0.976999796458376,1.21413250232709,1.16681419489821,1.16204519955121,1.32450331125828,4.91333952336738,6.30609718353451,0,0,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Lithuania,LTU,..,5.43592115735199,4.04557231517002,4.31331961845863,3.19067316289924,3.33576829014042,3.52529714214054,3.31339584330344,3.26829198142898,2.97044449720257,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Luxembourg,LUX,..,14.01363370488,15.7991798370851,17.55262939787,16.7472258152359,15.2968430391601,15.9361784390902,17.1900429927467,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Madagascar,MDG,..,..,..,0.119654574074673,0.114675285372755,0.113111346320032,0.132734559185322,0.127115766240796,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Malaysia,MYS,..,2.29921022551244,2.30005678515014,2.39959408366406,2.37261874331428,2.19628602866763,2.41903152910473,2.36612556522687,2.29753347160095,2.13052823729365,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Maldives,MDV,..,2.65269511041887,2.3637561757638,3.29299951054194,3.47751510398769,3.47829482662918,3.34748486989973,2.77564158063875,3.15338508498126,2.77715554720562,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Mali,MLI,..,0.189887029235771,0.217895035583784,0.204051563794351,0.180410729690766,0.267187191885047,0.144373686864328,0.330667772600476,0.40867977887313,0.267942153429875,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Malta,MLT,..,13.6655753186377,15.4412855206476,17.0894143791028,18.020737937813,16.9469107021808,17.1114808436388,17.4451819797299,12.7621174347287,10.0541788791189,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Mauritania,MRT,..,..,..,..,..,0.422791795457242,0.462827371990281,0.383598312167426,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Mauritius,MUS,..,7.66946053889858,7.13410614804309,7.95487562864384,8.79507968824273,9.9147539514512,9.79566359832074,7.0539567381146,7.0539567381146,7.05396416693488,..
