,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021
Country/Territory,Code,Estimate ,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
"Micronesia, Fed. Sts.",FSM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.45,0.32,1,65.17,52.74,78.61,0.38,0.21,2,61.76,53.92,71.08,0.38,0.3,2,63.24,51.47,75.98,-0.23,0.34,2,48.54,21.84,61.17,-0.52,0.28,3,33.5,16.99,52.91,-0.65,0.28,3,27.27,12.92,46.89,-0.75,0.29,3,24.88,9.09,42.58,-0.91,0.23,4,20.85,8.53,32.7,-0.95,0.25,4,19.43,7.58,31.28,-0.94,0.26,4,18.48,7.11,32.23,-1.05,0.29,4,14.9,4.33,31.25,-1,0.27,4,15.38,5.29,32.21,-0.98,0.29,4,14.9,5.77,31.73,-1.01,0.29,4,14.42,4.81,31.25,-0.99,0.3,4,13.94,5.29,33.17,-0.97,0.31,4,14.42,5.77,35.1,-0.96,0.34,4,15.38,5.29,37.02,-0.79,0.33,4,23.56,8.17,43.75
Gabon,GAB,0.14,0.31,4,60.33,36.96,70.11,0.34,0.33,4,63.59,42.93,75.54,0.07,0.31,4,57.61,31.52,68.48,-0.08,0.26,4,52.43,36.22,63.24,-0.06,0.22,4,53.51,38.92,61.62,-0.43,0.22,5,38.31,20.9,52.74,-0.06,0.18,5,51.96,43.14,58.33,-0.3,0.23,6,44.61,25,54.41,-0.38,0.24,6,39.32,21.84,52.91,-0.56,0.23,6,30.58,17.96,50.49,-0.48,0.23,6,34.45,22.01,50.72,-0.44,0.23,6,36.36,22.49,52.15,-0.46,0.23,6,34.6,22.27,51.66,-0.53,0.24,7,32.23,20.38,47.39,-0.61,0.24,7,29.38,16.11,45.02,-0.69,0.26,6,27.4,10.58,44.71,-0.71,0.24,7,27.88,12.98,43.27,-0.71,0.26,7,26.44,10.58,43.27,-0.7,0.25,6,26.92,10.58,40.87,-0.87,0.22,7,16.35,8.65,32.21,-0.94,0.21,8,15.38,8.65,29.81,-0.87,0.24,6,17.79,9.62,34.62,-0.81,0.25,5,22.6,9.62,37.5
United Kingdom,GBR,2.02,0.28,6,99.46,95.11,100,1.97,0.27,6,99.46,94.02,100,1.81,0.23,6,98.37,90.22,100,1.71,0.23,6,96.22,88.65,100,1.65,0.2,6,95.14,88.11,100,1.73,0.21,6,96.52,88.56,100,1.61,0.17,6,96.57,89.22,100,1.84,0.21,7,99.51,92.65,100,1.87,0.22,7,99.03,92.23,100,1.79,0.23,7,97.57,91.75,100,1.58,0.22,7,94.74,85.65,100,1.73,0.24,7,97.61,86.6,100,1.65,0.22,8,95.26,86.73,100,1.64,0.23,8,94.79,87.2,100,1.76,0.22,8,96.21,90.05,100,1.82,0.23,8,97.12,90.38,99.52,1.84,0.22,8,98.56,91.83,99.52,1.76,0.23,8,95.19,89.9,99.04,1.71,0.22,8,94.23,88.94,98.56,1.78,0.22,8,95.67,89.9,99.52,1.62,0.22,8,93.75,86.54,99.52,1.49,0.23,7,92.31,83.65,99.04,1.47,0.23,7,90.87,83.17,98.56
Georgia,GEO,-1.01,0.34,3,15.76,4.89,30.43,-0.7,0.33,3,23.91,11.41,46.74,-0.52,0.31,4,29.89,15.22,53.8,-0.74,0.26,5,24.32,12.97,41.62,-0.62,0.21,5,28.65,18.92,48.11,-0.44,0.21,7,37.31,20.9,51.24,-0.6,0.17,8,28.92,20.59,43.63,-0.13,0.19,9,50.98,37.25,55.88,0.3,0.18,10,60.68,52.43,67.96,0.48,0.17,10,65.53,57.77,73.79,0.51,0.16,10,67.46,58.85,73.68,0.59,0.16,10,69.38,62.2,75.6,0.65,0.16,10,73.46,63.03,77.25,0.66,0.16,12,72.04,64.45,77.25,0.73,0.16,12,72.99,66.35,79.62,0.76,0.19,11,75.48,66.35,81.73,0.77,0.19,11,75,67.31,80.77,0.87,0.2,9,78.85,68.75,85.1,0.96,0.21,8,80.29,72.12,87.98,1.04,0.21,8,81.73,74.52,89.9,1.03,0.21,7,81.73,74.04,89.9,1.01,0.23,6,81.73,72.6,90.38,1.06,0.24,6,82.69,72.12,89.9
Ghana,GHA,-0.34,0.31,4,38.04,21.2,61.96,-0.22,0.33,4,42.93,22.28,62.5,0,0.31,4,54.35,29.89,65.76,-0.51,0.23,5,36.22,18.92,50.27,-0.28,0.19,6,48.11,30.81,56.22,-0.38,0.17,8,40.8,25.37,51.24,-0.18,0.15,9,50,39.22,54.41,-0.11,0.16,9,51.47,40.69,55.39,-0.11,0.16,9,51.46,39.32,57.77,-0.11,0.16,10,51.94,41.75,56.8,0.04,0.15,10,54.07,45.45,62.2,0.05,0.15,10,54.07,46.89,60.77,0.08,0.15,11,54.98,48.34,61.61,0.1,0.17,11,54.98,46.45,63.51,0.06,0.17,11,54.03,45.02,63.03,-0.05,0.17,11,50,41.35,61.54,-0.09,0.16,11,49.52,40.38,59.62,-0.29,0.16,11,43.27,30.29,52.4,-0.17,0.16,11,45.67,34.13,58.17,-0.13,0.16,11,47.6,36.06,61.06,-0.17,0.16,11,46.15,36.54,59.62,-0.12,0.17,10,46.63,38.46,58.17,-0.2,0.16,10,45.67,35.58,53.85
Guinea,GIN,-0.84,0.35,3,22.28,7.61,44.02,-0.81,0.38,3,21.74,8.7,43.48,-0.82,0.36,3,20.11,7.61,40.76,-1.11,0.26,4,13.51,4.86,25.41,-0.97,0.21,4,18.92,8.11,27.03,-1.01,0.19,6,16.42,7.46,23.38,-1.04,0.16,7,16.18,9.8,23.04,-1.14,0.17,8,12.75,6.86,20.1,-1.19,0.16,8,10.68,4.85,18.45,-1.17,0.16,8,11.65,5.34,18.93,-1.12,0.16,8,12.92,6.22,22.01,-1.06,0.16,8,15.31,7.18,22.49,-1,0.16,8,17.54,8.53,25.12,-1.02,0.18,10,16.59,9,25.12,-1.02,0.18,10,16.11,8.06,25.12,-1.07,0.18,10,13.94,7.21,25.48,-0.88,0.17,10,20.19,11.06,29.81,-0.88,0.17,9,18.75,10.58,28.85,-0.85,0.17,10,18.27,10.58,30.29,-0.79,0.17,10,20.67,12.02,32.21,-0.8,0.17,10,20.19,11.54,32.21,-0.86,0.18,9,18.27,10.58,30.77,-0.96,0.16,9,14.9,9.62,26.92
"Gambia, The",GMB,-0.84,0.35,3,21.74,7.61,44.02,-0.69,0.38,3,24.46,9.78,50,-0.43,0.36,3,32.07,15.22,58.15,-0.53,0.29,3,35.14,16.22,53.51,-0.47,0.23,4,36.76,20.54,52.97,-0.52,0.2,6,31.84,19.9,47.76,-0.61,0.16,7,28.43,20.59,43.14,-0.48,0.17,8,34.31,22.55,49.51,-0.49,0.17,8,33.98,22.33,50,-0.49,0.17,8,35.44,22.33,48.54,-0.41,0.17,8,36.36,25.84,49.76,-0.48,0.17,8,34.45,23.44,46.89,-0.35,0.18,8,39.81,28.44,52.13,-0.26,0.2,8,44.55,30.33,54.03,-0.38,0.2,8,37.91,25.59,51.66,-0.5,0.2,8,33.17,24.52,48.08,-0.56,0.18,8,31.25,21.15,44.71,-0.57,0.19,8,29.81,18.75,43.27,-0.5,0.19,8,33.65,22.12,44.23,-0.66,0.17,9,27.4,14.9,36.54,-0.7,0.17,9,25.96,13.46,36.54,-0.74,0.18,8,25.48,12.02,37.02,-0.87,0.16,9,19.23,11.06,30.29
Guinea-Bissau,GNB,-0.83,0.37,2,22.83,5.98,46.2,-1.22,0.38,3,12.5,3.26,27.17,-1.05,0.36,3,15.22,5.98,30.43,-0.88,0.29,3,20,6.49,39.46,-0.85,0.24,3,20.54,9.73,37.84,-1.19,0.21,5,11.94,5.47,19.9,-1.12,0.16,6,13.24,6.86,21.08,-0.98,0.18,6,17.65,8.33,25,-1.14,0.18,6,13.11,6.31,20.87,-1.2,0.18,6,9.71,3.88,18.93,-1.2,0.19,6,10.05,5.26,20.57,-1.12,0.18,6,12.44,5.74,22.49,-1.12,0.19,6,11.85,5.69,23.22,-1.23,0.23,6,9.95,3.32,21.8,-1.29,0.23,6,9,2.37,21.33,-1.21,0.22,6,9.62,4.33,21.63,-1.21,0.2,6,9.62,4.33,20.19,-1.24,0.2,6,8.65,4.33,17.79,-1.21,0.21,6,10.1,4.81,17.31,-1.22,0.18,7,9.13,4.81,14.9,-1.25,0.18,7,9.13,4.81,14.42,-1.27,0.19,7,9.62,4.81,15.87,-1.26,0.18,7,9.13,4.81,14.9
Equatorial Guinea,GNQ,-1.44,0.34,2,6.52,1.63,21.2,-1.63,0.34,3,5.43,0,14.67,-1.65,0.31,3,5.43,0.54,14.67,-1.49,0.29,3,5.95,1.08,16.22,-1.43,0.24,3,6.49,1.62,16.22,-1.56,0.24,4,5.47,1.49,12.44,-1.47,0.19,4,6.37,1.96,11.76,-1.5,0.25,4,4.9,2.45,14.71,-1.45,0.28,3,5.34,2.43,16.99,-1.45,0.29,3,4.85,2.43,16.99,-1.47,0.29,3,5.74,2.39,16.75,-1.55,0.27,4,4.31,2.39,12.92,-1.49,0.27,4,5.69,1.9,14.69,-1.6,0.27,4,3.32,1.42,11.37,-1.54,0.27,4,4.27,1.42,14.22,-1.47,0.3,3,4.81,1.92,16.35,-1.46,0.29,3,5.29,1.92,15.87,-1.55,0.32,3,4.81,1.92,12.5,-1.55,0.31,3,4.81,1.44,12.98,-1.64,0.26,4,3.85,1.92,9.62,-1.67,0.25,4,4.33,1.92,8.65,-1.7,0.27,4,4.33,1.44,9.62,-1.71,0.27,4,3.85,0.96,8.65
Greece,GRC,0.54,0.28,6,67.39,58.15,78.26,0.58,0.27,6,69.57,56.52,83.7,0.74,0.23,6,73.91,64.67,84.78,0.95,0.23,6,78.92,68.11,87.57,0.99,0.2,6,77.84,68.11,88.11,0.84,0.21,6,76.62,65.67,83.58,0.96,0.17,6,77.94,70.1,84.8,0.86,0.21,7,75.98,65.2,85.29,0.89,0.22,7,77.18,66.99,86.41,0.88,0.23,7,75.73,66.02,86.89,0.83,0.22,7,74.64,64.59,85.17,0.64,0.24,7,71.29,59.81,81.34,0.49,0.23,7,66.35,55.92,76.3,0.52,0.23,8,68.25,55.92,76.78,0.63,0.22,8,71.09,61.14,79.62,0.33,0.23,8,63.94,49.52,72.6,0.41,0.22,8,66.35,53.37,74.52,0.14,0.23,8,60.58,44.23,68.27,0.24,0.22,8,62.98,48.08,71.63,0.41,0.22,8,66.35,58.17,75.48,0.53,0.22,8,69.71,62.02,75.96,0.55,0.23,7,72.12,58.17,77.88,0.44,0.23,7,67.31,53.37,74.52
Grenada,GRD,0.55,0.39,1,68.48,51.63,83.7,0.54,0.44,1,67.93,43.48,89.13,0.52,0.42,1,66.85,44.02,85.87,0.46,0.37,1,65.41,49.19,80.54,0.44,0.28,1,65.41,55.14,73.51,0.29,0.3,2,62.69,47.26,74.13,0.36,0.2,3,60.78,53.92,70.1,0.53,0.27,3,65.69,54.9,77.94,0.42,0.29,3,65.05,51.94,76.7,0.22,0.25,3,58.25,49.51,67.48,0.24,0.26,3,58.85,46.89,71.77,0.27,0.25,3,60.77,48.33,73.68,0.23,0.26,3,57.82,46.45,72.99,0.25,0.29,3,59.72,45.02,73.46,0.25,0.3,3,60.66,45.02,72.99,0.18,0.34,2,59.13,37.98,73.56,0.11,0.26,4,56.25,43.27,67.79,0.07,0.26,4,56.73,39.9,68.27,-0.03,0.26,4,52.4,34.13,66.83,-0.27,0.27,4,41.83,25.48,61.54,-0.29,0.27,4,42.31,23.08,62.02,-0.11,0.29,4,47.12,30.77,63.94,0.29,0.31,3,62.02,44.23,73.56
Greenland,GRL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.35,0.48,1,88.04,68.42,100,1.36,0.49,1,88.04,67.94,100,1.33,0.49,1,88.15,67.3,100,1.37,0.43,1,90.05,72.04,100,1.39,0.41,1,90.05,72.04,100,1.37,0.45,1,89.9,71.15,99.52,1.35,0.45,1,89.9,71.15,99.04,1.33,0.48,1,87.98,68.75,99.04,1.32,0.47,1,88.46,70.67,99.04,1.37,0.49,1,89.42,70.67,99.52,1.36,0.47,1,89.42,72.12,99.52,1.39,0.49,1,90.38,72.12,99.52,1.37,0.52,1,89.42,69.23,99.52
Guatemala,GTM,-0.31,0.29,5,39.67,22.83,61.41,-0.15,0.33,4,47.28,23.91,64.67,-0.29,0.26,5,39.67,22.28,58.15,-0.17,0.22,6,47.57,34.59,60.54,-0.35,0.19,6,43.24,25.41,55.14,-0.23,0.2,7,47.26,29.85,56.72,-0.5,0.17,7,34.8,23.53,48.53,-0.32,0.2,8,43.63,26.47,54.41,-0.31,0.21,8,44.17,25.24,53.4,-0.25,0.2,8,47.57,30.1,54.37,-0.22,0.19,8,45.93,32.54,55.02,-0.17,0.19,8,47.37,33.49,54.55,-0.21,0.18,9,45.97,33.18,55.45,-0.26,0.2,9,43.13,29.86,54.03,-0.29,0.2,9,43.13,29.38,53.55,-0.28,0.21,9,42.79,29.33,53.37,-0.31,0.2,9,43.75,28.37,51.92,-0.29,0.21,9,42.79,27.88,55.29,-0.35,0.2,9,39.42,27.4,52.88,-0.28,0.2,9,41.35,29.33,57.69,-0.32,0.2,9,40.38,28.37,54.33,-0.26,0.21,8,42.31,30.77,56.25,-0.32,0.22,7,40.87,26.92,52.88
French Guiana,GUF,1.03,0.39,1,80.98,64.67,96.2,1.01,0.44,1,82.07,61.41,96.74,0.99,0.42,1,81.52,63.59,94.02,0.94,0.37,1,78.38,63.24,92.97,0.93,0.28,1,76.76,65.95,88.65,0.52,0.32,1,66.67,53.73,79.1,0.86,0.21,1,75,64.71,83.82,0.86,0.31,1,75.49,61.27,91.18,0.88,0.37,1,76.7,59.71,91.26,0.89,0.38,1,78.16,58.74,92.72,1.19,0.33,2,85.17,71.77,97.13,1.23,0.35,2,85.17,72.73,98.09,1.21,0.36,2,85.78,71.09,96.68,1.27,0.34,2,87.2,73.46,98.1,1.28,0.33,2,87.2,72.99,98.1,1.45,0.35,2,90.87,76.92,99.04,1.44,0.34,2,91.83,77.4,99.04,1.43,0.36,2,90.87,75.96,98.56,1.28,0.35,2,87.5,75,96.63,1.3,0.37,2,87.5,74.52,98.08,1.31,0.36,2,87.98,74.04,99.04,1.19,0.37,2,84.13,72.12,97.6,1.18,0.38,2,84.62,71.15,97.12
Guam,GUM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.71,0.32,1,72.14,60.2,86.57,0.62,0.21,1,68.14,59.8,77.94,0.61,0.31,1,68.63,55.39,83.33,0.63,0.37,1,69.9,53.4,86.41,0.64,0.38,1,68.93,53.4,86.89,0.65,0.41,1,71.77,52.15,87.56,0.64,0.46,1,72.73,50.72,89.95,0.63,0.46,1,72.51,50.24,91,0.6,0.5,1,71.09,45.02,91,0.6,0.5,1,69.67,45.02,90.05,0.18,0.51,1,58.65,28.37,80.77,0.17,0.46,1,59.62,30.77,78.85,0.13,0.49,1,60.1,26.92,79.81,0.11,0.47,1,59.13,27.88,78.85,0.08,0.49,1,59.13,25,78.37,0.08,0.49,1,59.62,24.52,75.96,0.54,0.52,1,71.63,40.38,90.38,0.55,0.49,1,70.67,43.75,87.98
Guyana,GUY,-0.17,0.35,3,48.91,23.37,64.67,-0.06,0.38,3,51.63,24.46,68.48,-0.13,0.36,3,48.91,22.28,65.22,-0.35,0.29,3,41.08,21.08,57.84,-0.34,0.24,3,43.78,22.7,56.76,-0.39,0.25,4,39.8,20.9,54.23,-0.5,0.18,6,35.29,23.04,49.02,-0.61,0.21,7,28.92,17.65,46.57,-0.62,0.22,7,26.7,17.48,47.09,-0.59,0.2,7,30.1,18.45,47.09,-0.62,0.2,7,29.19,18.18,44.02,-0.61,0.2,7,30.62,18.66,42.58,-0.68,0.21,7,27.96,16.11,39.81,-0.63,0.22,7,29.38,18.01,42.65,-0.61,0.22,7,29.86,17.54,44.55,-0.53,0.23,7,32.69,19.23,48.56,-0.51,0.2,8,34.62,21.15,46.63,-0.42,0.21,7,36.54,23.56,51.92,-0.39,0.21,7,37.02,25,50.96,-0.54,0.21,7,31.73,15.87,45.67,-0.6,0.21,7,29.33,14.9,43.27,-0.53,0.23,7,32.21,16.35,45.67,-0.52,0.23,6,34.13,17.79,46.63
"Hong Kong SAR, China",HKG,1.68,0.28,6,96.74,85.33,99.46,1.84,0.27,6,97.83,91.3,100,1.76,0.23,6,96.2,89.67,100,1.68,0.23,6,95.68,87.57,100,1.89,0.2,6,100,92.43,100,1.95,0.21,6,100,93.53,100,1.79,0.17,6,100,91.67,100,1.94,0.21,7,100,94.12,100,1.99,0.22,7,100,94.66,100,1.95,0.23,7,100,93.69,100,1.82,0.22,7,98.56,92.34,100,1.87,0.24,7,100,92.34,100,1.78,0.22,8,96.21,91,100,1.94,0.23,8,99.53,94.31,100,1.92,0.22,8,99.53,92.42,100,2.05,0.23,8,99.52,93.27,100,2.18,0.22,8,99.52,97.6,100,2.15,0.23,7,99.52,95.19,100,2.16,0.22,8,100,95.67,100,2.23,0.22,8,100,97.6,100,1.98,0.22,8,99.52,93.27,100,1.79,0.25,6,97.12,89.9,99.52,1.58,0.25,6,93.75,84.62,99.52
Honduras,HND,-0.69,0.29,5,24.46,11.41,46.2,-0.4,0.33,4,33.7,16.85,57.07,-0.57,0.26,5,27.72,15.22,48.37,-0.54,0.22,6,34.05,18.92,46.49,-0.59,0.19,6,30.81,18.92,47.57,-0.43,0.2,7,38.81,21.39,50.25,-0.63,0.16,8,27.45,20.59,43.14,-0.46,0.19,8,37.25,22.06,50.49,-0.28,0.19,8,47.09,27.18,53.88,-0.32,0.18,8,45.15,29.13,53.4,-0.31,0.17,9,42.58,29.67,52.15,-0.25,0.17,9,44.98,33.01,53.59,-0.15,0.17,9,49.29,35.55,55.92,-0.21,0.19,9,46.45,32.7,55.45,-0.2,0.19,9,45.5,33.65,54.98,-0.41,0.19,10,37.5,26.44,49.52,-0.4,0.18,10,39.9,27.88,49.04,-0.52,0.19,10,31.25,21.15,45.19,-0.44,0.18,10,34.62,24.52,48.08,-0.44,0.18,10,35.58,24.52,46.63,-0.48,0.19,9,34.62,20.19,45.67,-0.48,0.2,8,34.62,20.19,45.67,-0.52,0.19,9,33.65,20.67,45.19
Croatia,HRV,-0.17,0.31,4,49.46,24.46,64.13,-0.15,0.29,5,47.83,26.09,63.59,-0.12,0.27,6,50.54,27.17,64.13,0.29,0.21,8,62.16,53.51,68.65,0.47,0.18,8,65.95,58.92,71.89,0.53,0.18,9,67.16,61.69,76.12,0.48,0.16,9,64.71,58.33,71.08,0.37,0.18,10,62.25,54.41,70.1,0.41,0.19,10,64.56,57.28,71.36,0.41,0.2,9,64.08,54.85,73.3,0.47,0.19,9,65.07,56.94,73.68,0.49,0.19,9,66.51,56.46,75.12,0.44,0.18,10,64.93,55.92,75.36,0.35,0.18,11,63.03,54.03,71.56,0.37,0.18,11,63.98,54.03,72.04,0.28,0.19,11,62.5,50.48,70.19,0.25,0.18,11,62.5,51.44,68.27,0.25,0.19,10,63.94,51.92,68.75,0.31,0.2,9,65.38,53.37,72.12,0.5,0.2,9,69.23,62.02,77.4,0.56,0.2,9,72.12,62.02,75.96,0.37,0.21,8,64.42,52.88,73.56,0.5,0.21,8,69.23,57.69,75.96
Haiti,HTI,-0.91,0.35,3,19.02,5.98,37.5,-0.95,0.38,3,16.85,5.98,35.87,-0.94,0.36,3,15.76,6.52,34.78,-1.09,0.24,5,14.05,5.41,25.95,-1.13,0.2,5,14.05,4.32,21.08,-1.48,0.22,5,6.47,2.49,12.94,-1.22,0.17,6,10.78,5.39,19.61,-0.86,0.2,7,20.59,11.27,30.88,-0.84,0.2,7,20.39,11.65,31.55,-0.78,0.19,7,22.33,16.02,35.92,-0.94,0.18,8,19.62,8.13,27.27,-1.03,0.17,8,17.22,7.18,25.36,-1.06,0.17,9,13.74,7.58,23.7,-0.95,0.19,9,19.91,9,28.91,-0.94,0.19,9,19.43,9.48,28.91,-1.08,0.2,9,12.98,5.77,25.48,-1.18,0.19,9,10.58,4.33,20.67,-1.25,0.2,8,8.17,4.33,17.79,-1.34,0.19,9,7.69,3.37,13.46,-1.28,0.19,9,8.65,4.81,14.9,-1.29,0.2,9,8.65,4.81,13.94,-1.24,0.22,7,10.1,4.33,16.83,-1.32,0.19,8,8.65,3.85,13.46
Hungary,HUN,0.85,0.27,7,75.54,64.67,88.04,0.96,0.25,7,78.8,67.93,90.76,1.04,0.22,8,82.07,70.11,89.67,1.26,0.2,9,86.49,76.22,94.05,1.12,0.17,9,81.08,72.43,88.65,1.17,0.18,9,83.58,77.61,90.55,1.05,0.16,9,78.92,71.08,88.24,1.2,0.18,10,85.29,75.98,92.65,1.21,0.19,10,85.92,77.18,92.72,1.17,0.19,10,85.44,75.24,91.75,1.08,0.18,10,81.34,73.68,89,1.01,0.18,10,80.38,74.64,86.12,1.03,0.17,10,80.09,75.36,87.2,0.98,0.18,11,78.67,72.99,87.2,0.9,0.18,11,77.73,68.25,86.26,0.75,0.19,11,75,66.35,80.77,0.76,0.18,11,74.52,67.31,80.77,0.6,0.19,10,70.19,65.38,79.33,0.65,0.2,9,72.6,65.38,80.29,0.57,0.2,9,71.15,62.98,79.33,0.6,0.2,9,72.6,62.98,76.44,0.48,0.21,8,67.79,58.17,75,0.5,0.21,8,68.75,57.69,75.48
Indonesia,IDN,-0.05,0.28,6,52.72,28.8,64.67,-0.35,0.27,6,35.87,21.74,54.89,-0.26,0.23,6,40.22,25.54,58.15,-0.74,0.21,7,23.78,14.05,40,-0.87,0.18,7,19.46,12.97,32.43,-0.74,0.19,8,22.39,15.42,38.81,-0.65,0.16,9,25.49,20.59,42.16,-0.4,0.19,10,39.22,23.04,51.96,-0.39,0.19,10,38.83,23.79,51.94,-0.35,0.19,9,44.17,27.67,53.4,-0.31,0.19,9,42.11,29.19,52.15,-0.38,0.19,9,39.23,26.32,51.67,-0.31,0.18,10,41.71,29.38,52.13,-0.22,0.19,10,45.5,31.75,54.5,-0.12,0.19,10,47.39,36.02,58.29,-0.01,0.2,10,51.92,40.87,63.46,-0.14,0.19,10,49.04,35.58,59.62,-0.02,0.2,10,52.88,40.38,65.38,0.04,0.19,10,56.25,40.87,66.35,-0.01,0.19,10,53.37,39.42,63.94,0.04,0.19,10,57.21,43.27,64.9,0.23,0.2,9,59.13,47.6,72.12,0.3,0.19,9,62.5,50.96,72.12
India,IND,-0.55,0.28,6,26.09,15.76,51.63,-0.44,0.27,6,31.52,18.48,52.17,-0.16,0.23,6,45.65,28.26,61.41,-0.38,0.21,7,40.54,25.41,54.05,-0.38,0.18,7,42.16,25.41,52.97,-0.38,0.19,8,41.29,24.38,52.74,-0.29,0.16,9,45.1,30.88,52.94,-0.28,0.18,10,45.59,29.41,54.41,-0.31,0.18,10,43.2,26.7,52.43,-0.41,0.17,10,38.83,25.24,51.46,-0.35,0.17,10,39.71,28.71,51.67,-0.41,0.17,10,36.84,26.32,48.33,-0.36,0.16,11,38.86,28.91,51.18,-0.48,0.18,11,33.65,24.64,46.45,-0.48,0.17,11,34.6,24.17,45.97,-0.48,0.2,10,33.65,25.48,48.56,-0.41,0.19,10,38.46,26.92,49.04,-0.3,0.2,10,42.31,28.37,54.81,-0.24,0.19,10,43.75,30.29,56.73,-0.21,0.19,10,45.19,32.21,59.62,-0.14,0.19,10,47.6,35.58,62.02,-0.11,0.2,9,47.6,37.02,58.65,-0.08,0.19,9,49.52,37.98,60.58
Ireland,IRL,1.51,0.28,6,92.93,81.52,98.91,1.64,0.27,6,95.65,86.41,99.46,1.78,0.23,6,96.74,89.67,100,1.72,0.23,6,97.3,88.65,100,1.58,0.2,6,93.51,86.49,100,1.57,0.21,6,93.03,85.57,99.5,1.49,0.17,6,91.67,83.82,99.51,1.84,0.21,7,99.02,92.16,100,1.85,0.22,7,98.54,91.26,100,1.91,0.23,7,99.51,93.2,100,1.7,0.22,7,96.17,87.56,100,1.62,0.24,7,94.26,84.69,100,1.59,0.23,7,93.36,85.78,100,1.56,0.24,7,94.31,85.31,100,1.57,0.24,7,93.84,85.78,100,1.76,0.25,7,95.19,89.42,99.52,1.81,0.24,7,97.6,91.35,99.52,1.74,0.25,7,94.71,87.5,99.04,1.58,0.24,7,91.83,83.65,98.08,1.63,0.24,7,93.27,85.58,99.04,1.6,0.24,7,93.27,84.13,99.52,1.48,0.26,6,91.83,82.21,99.52,1.56,0.23,7,93.27,84.62,99.52
